iter	Passed	Remaining
0	5	2846
1	10	2630
2	14	2417
3	18	2301
4	22	2260
5	28	2341
6	32	2291
7	38	2371
8	42	2340
9	47	2310
10	51	2301
11	57	2320
12	61	2295
13	65	2264
14	70	2292
15	75	2269
16	78	2239
17	82	2213
18	88	2228
19	91	2203
20	95	2182
21	99	2171
22	104	2165
23	108	2149
24	112	2137
25	118	2152
26	122	2147
27	127	2147
28	131	2143
29	136	2138
30	140	2131
31	145	2125
32	152	2161
33	157	2155
34	161	2151
35	167	2154
36	171	2145
37	175	2131
38	179	2119
39	183	2112
40	187	2099
41	191	2087
42	195	2075
43	199	2070
44	204	2067
45	208	2055
46	213	2054
47	217	2046
48	221	2036
49	225	2025
50	230	2026
51	234	2023
52	238	2015
53	242	2005
54	247	2005
55	252	2002
56	256	1991
57	260	1985
58	264	1980
59	268	1971
60	272	1962
61	277	1962
62	281	1954
63	285	1945
64	289	1936
65	294	1939
66	298	1930
67	302	1922
68	306	1915
69	311	1911
70	314	1902
71	318	1895
72	323	1890
73	330	1901
74	334	1894
75	338	1888
76	342	1884
77	346	1876
78	351	1873
79	356	1873
80	361	1867
81	365	1861
82	369	1854
83	373	1850
84	377	1844
85	381	1837
86	385	1830
87	390	1827
88	394	1821
89	398	1814
90	402	1808
91	407	1805
92	411	1799
93	415	1793
94	419	1786
95	424	1785
96	428	1779
97	432	1772
98	436	1766
99	440	1763
100	444	1756
101	448	1750
102	452	1745
103	458	1745
104	462	1739
105	466	1732
106	471	1730
107	475	1727
108	480	1722
109	483	1715
110	488	1712
111	492	1705
112	496	1699
113	500	1694
114	504	1689
115	508	1683
116	512	1677
117	516	1672
118	520	1667
119	524	1660
120	528	1655
121	532	1651
122	537	1647
123	542	1644
124	547	1641
125	552	1638
126	556	1634
127	561	1631
128	567	1631
129	573	1632
130	578	1629
131	584	1629
132	589	1626
133	594	1622
134	599	1622
135	605	1620
136	611	1619
137	616	1617
138	622	1615
139	627	1614
140	632	1610
141	637	1606
142	641	1602
143	646	1599
144	651	1595
145	656	1591
146	661	1588
147	666	1584
148	670	1580
149	676	1577
150	681	1574
151	686	1571
152	690	1567
153	695	1562
154	700	1558
155	706	1558
156	711	1555
157	717	1552
158	721	1547
159	726	1544
160	730	1538
161	735	1535
162	740	1530
163	744	1525
164	749	1520
165	752	1514
166	757	1510
167	761	1505
168	766	1500
169	770	1494
170	774	1490
171	778	1484
172	782	1478
173	786	1473
174	790	1468
175	794	1463
176	798	1457
177	803	1453
178	807	1447
179	811	1442
180	815	1437
181	820	1433
182	824	1428
183	828	1423
184	832	1418
185	837	1413
186	841	1407
187	845	1402
188	849	1397
189	853	1393
190	857	1387
191	861	1382
192	865	1377
193	870	1372
194	874	1367
195	878	1361
196	882	1356
197	887	1353
198	891	1347
199	894	1342
200	898	1337
201	903	1332
202	906	1326
203	910	1321
204	915	1317
205	919	1312
206	924	1308
207	929	1304
208	935	1302
209	939	1297
210	943	1292
211	948	1287
212	952	1282
213	956	1277
214	960	1273
215	965	1269
216	969	1264
217	973	1259
218	977	1254
219	982	1250
220	986	1245
221	990	1239
222	994	1235
223	999	1230
224	1002	1225
225	1006	1220
226	1011	1216
227	1016	1212
228	1021	1209
229	1030	1209
230	1035	1205
231	1039	1200
232	1044	1197
233	1049	1192
234	1053	1188
235	1058	1183
236	1063	1180
237	1067	1175
238	1072	1170
239	1076	1165
240	1080	1161
241	1084	1156
242	1088	1151
243	1094	1148
244	1099	1144
245	1103	1139
246	1108	1134
247	1112	1130
248	1116	1125
249	1119	1119
250	1124	1115
251	1128	1110
252	1132	1105
253	1136	1100
254	1141	1096
255	1145	1091
256	1148	1086
257	1153	1082
258	1158	1077
259	1162	1072
260	1166	1068
261	1170	1063
262	1174	1058
263	1178	1053
264	1182	1048
265	1186	1043
266	1191	1039
267	1194	1034
268	1199	1029
269	1202	1024
270	1207	1020
271	1211	1015
272	1215	1010
273	1219	1005
274	1223	1001
275	1227	996
276	1231	991
277	1236	987
278	1241	983
279	1245	978
280	1250	974
281	1256	970
282	1260	966
283	1266	963
284	1272	960
285	1278	956
286	1283	952
287	1289	949
288	1294	945
289	1299	941
290	1305	937
291	1310	933
292	1314	928
293	1319	924
294	1324	920
295	1329	916
296	1334	911
297	1338	907
298	1342	902
299	1346	897
300	1350	893
301	1354	888
302	1358	883
303	1362	878
304	1367	874
305	1371	869
306	1375	864
307	1378	859
308	1383	855
309	1387	850
310	1391	845
311	1395	840
312	1401	837
313	1405	832
314	1409	828
315	1414	823
316	1418	818
317	1422	814
318	1426	809
319	1431	805
320	1435	800
321	1439	795
322	1443	791
323	1448	786
324	1452	782
325	1456	777
326	1461	773
327	1465	768
328	1469	763
329	1473	759
330	1477	754
331	1481	749
332	1485	745
333	1490	740
334	1496	737
335	1501	732
336	1505	728
337	1511	724
338	1515	719
339	1520	715
340	1525	711
341	1530	707
342	1536	703
343	1541	699
344	1547	695
345	1551	690
346	1557	686
347	1562	682
348	1566	677
349	1571	673
350	1576	669
351	1581	664
352	1585	660
353	1590	655
354	1594	651
355	1598	646
356	1602	641
357	1606	637
358	1610	632
359	1614	627
360	1618	623
361	1623	618
362	1627	614
363	1630	609
364	1635	604
365	1639	600
366	1643	595
367	1647	590
368	1651	586
369	1655	581
370	1660	577
371	1664	572
372	1667	567
373	1672	563
374	1676	558
375	1681	554
376	1685	550
377	1690	545
378	1694	540
379	1698	536
380	1702	531
381	1706	527
382	1711	522
383	1715	518
384	1721	514
385	1725	509
386	1729	505
387	1734	500
388	1738	496
389	1743	491
390	1747	487
391	1751	482
392	1755	477
393	1759	473
394	1763	468
395	1768	464
396	1772	459
397	1776	455
398	1780	450
399	1788	447
400	1792	442
401	1796	437
402	1801	433
403	1805	428
404	1809	424
405	1813	419
406	1817	415
407	1821	410
408	1825	406
409	1829	401
410	1834	397
411	1838	392
412	1842	388
413	1846	383
414	1850	379
415	1854	374
416	1858	369
417	1863	365
418	1867	360
419	1871	356
420	1875	351
421	1879	347
422	1883	342
423	1887	338
424	1891	333
425	1895	329
426	1899	324
427	1903	320
428	1907	315
429	1912	311
430	1917	306
431	1922	302
432	1926	298
433	1931	293
434	1935	289
435	1939	284
436	1943	280
437	1949	275
438	1953	271
439	1958	267
440	1963	262
441	1968	258
442	1972	253
443	1978	249
444	1982	245
445	1988	240
446	1993	236
447	1998	231
448	2002	227
449	2007	223
450	2012	218
451	2017	214
452	2022	209
453	2028	205
454	2032	201
455	2037	196
456	2043	192
457	2048	187
458	2052	183
459	2058	178
460	2063	174
461	2067	170
462	2073	165
463	2078	161
464	2083	156
465	2088	152
466	2093	147
467	2098	143
468	2103	139
469	2108	134
470	2112	130
471	2117	125
472	2122	121
473	2127	116
474	2131	112
475	2136	107
476	2140	103
477	2147	98
478	2152	94
479	2156	89
480	2161	85
481	2165	80
482	2170	76
483	2175	71
484	2180	67
485	2184	62
486	2189	58
487	2194	53
488	2198	49
489	2203	44
490	2208	40
491	2212	35
492	2217	31
493	2221	26
494	2226	22
495	2230	17
496	2235	13
497	2240	8
498	2244	4
499	2249	0
